t_s,route,status,latency_ms,backend,ok
0.039,message,201,13.820,backend-1,true
0.041,message,201,12.360,backend-2,true
0.034,message,201,19.230,backend-1,true
0.041,message,201,12.520,backend-3,true
0.043,message,201,10.580,backend-1,true
0.039,message,201,14.500,backend-1,true
0.039,message,201,14.180,backend-1,true
0.042,message,201,11.180,backend-1,true
0.042,message,201,10.970,backend-1,true
0.037,message,201,15.990,backend-1,true
0.042,message,201,10.960,backend-1,true
0.035,message,201,18.160,backend-1,true
0.035,message,201,18.370,backend-1,true
0.025,message,201,27.940,backend-1,true
0.039,message,201,13.990,backend-2,true
0.048,message,201,5.960,backend-1,true
0.042,message,201,11.150,backend-3,true
0.043,message,201,10.860,backend-1,true
0.024,message,201,29.720,backend-1,true
0.042,message,201,11.460,backend-1,true
0.046,message,201,7.110,backend-1,true
0.042,message,201,11.800,backend-1,true
0.048,message,201,6.090,backend-1,true
0.027,message,201,26.150,backend-1,true
0.047,message,201,7.060,backend-1,true
0.043,message,201,11.040,backend-1,true
0.026,message,201,27.800,backend-1,true
0.028,message,201,26.200,backend-1,true
0.048,message,201,6.050,backend-1,true
0.044,message,201,10.140,backend-1,true
0.026,message,201,28.180,backend-1,true
0.026,message,201,27.980,backend-1,true
0.043,message,201,11.070,backend-1,true
0.038,message,201,15.730,backend-1,true
0.043,message,201,11.270,backend-1,true
0.039,message,201,14.630,backend-1,true
0.047,message,201,7.370,backend-3,true
0.035,message,201,18.710,backend-1,true
0.027,message,201,26.680,backend-1,true
0.046,message,201,7.640,backend-1,true
0.044,message,201,10.420,backend-1,true
0.042,message,201,12.100,backend-1,true
0.044,message,201,10.490,backend-1,true
0.044,message,201,10.350,backend-1,true
0.046,message,201,7.660,backend-1,true
0.042,message,201,12.210,backend-1,true
0.047,message,201,6.860,backend-1,true
0.043,message,201,11.430,backend-1,true
0.042,message,201,11.950,backend-3,true
0.034,message,201,20.120,backend-2,true
0.043,message,201,11.580,backend-1,true
0.052,message,201,2.260,backend-3,true
0.049,message,201,5.330,backend-3,true
0.048,message,201,6.660,backend-1,true
0.049,message,201,5.500,backend-3,true
0.034,message,201,20.300,backend-2,true
0.047,message,201,7.310,backend-3,true
0.032,message,201,22.790,backend-1,true
0.039,message,201,15.110,backend-2,true
0.052,message,201,2.250,backend-3,true
0.053,message,201,1.720,backend-3,true
0.039,message,201,15.420,backend-3,true
0.047,message,201,7.350,backend-3,true
0.049,message,201,5.730,backend-3,true
0.053,message,201,1.770,backend-3,true
0.041,message,201,13.720,backend-1,true
0.039,message,201,15.860,backend-1,true
0.052,message,201,2.190,backend-3,true
0.039,message,201,15.240,backend-1,true
0.044,message,201,11.030,backend-1,true
0.049,message,201,6.100,backend-3,true
0.038,message,201,16.410,backend-1,true
0.049,message,201,5.530,backend-3,true
0.036,message,201,19.070,backend-2,true
0.049,message,201,5.680,backend-3,true
0.039,message,201,15.790,backend-3,true
0.042,message,201,12.490,backend-3,true
0.052,message,201,2.870,backend-3,true
0.049,message,201,5.930,backend-3,true
0.053,message,201,2.010,backend-3,true
0.050,message,201,4.720,backend-3,true
0.042,message,201,12.520,backend-3,true
0.049,message,201,6.450,backend-3,true
0.052,message,201,3.030,backend-3,true
0.041,message,201,14.270,backend-2,true
0.053,message,201,1.880,backend-3,true
0.042,message,201,12.850,backend-3,true
0.051,message,201,4.090,backend-3,true
0.042,message,201,13.180,backend-3,true
0.052,message,201,2.890,backend-3,true
0.037,message,201,18.420,backend-2,true
0.052,message,201,2.950,backend-3,true
0.051,message,201,3.950,backend-3,true
0.042,message,201,12.760,backend-3,true
0.053,message,201,1.990,backend-3,true
0.044,message,201,11.730,backend-3,true
0.049,message,201,6.280,backend-3,true
0.049,message,201,6.330,backend-3,true
0.041,message,201,14.490,backend-3,true
0.049,message,201,6.370,backend-3,true
0.038,message,201,17.610,backend-3,true
0.053,message,201,2.190,backend-3,true
0.039,message,201,16.250,backend-3,true
0.039,message,201,15.910,backend-3,true
0.047,message,201,7.980,backend-3,true
0.050,message,201,5.480,backend-3,true
0.048,message,201,7.450,backend-3,true
0.052,message,201,3.450,backend-3,true
0.048,message,201,7.900,backend-1,true
0.044,message,201,11.900,backend-2,true
0.037,message,201,18.310,backend-1,true
0.039,message,201,16.310,backend-3,true
0.047,message,201,8.800,backend-3,true
0.049,message,201,6.740,backend-2,true
0.039,message,201,16.350,backend-3,true
0.053,message,201,2.890,backend-2,true
